corrida;pasajeros;tiempo_total;hipervolumen_corrida
0;321;764.5981954386964;403123.7807868552
0;345;773.2096537720297;403123.7807868552
0;354;823.7146537720298;403123.7807868552
0;360;828.2296537720298;403123.7807868552
0;375;830.2631867098366;403123.7807868552
0;386;832.9231867098366;403123.7807868552
0;391;859.274673696601;403123.7807868552
0;402;861.934673696601;403123.7807868552
0;406;914.329673696601;403123.7807868552
0;417;915.624673696601;403123.7807868552
0;433;926.9541291084546;403123.7807868552
0;439;969.9971736966011;403123.7807868552
0;449;1012.6889930112459;403123.7807868552
0;460;1019.6977430112458;403123.7807868552
0;472;1028.0545115297643;403123.7807868552
0;479;1051.5017741196687;403123.7807868552
0;488;1079.7169096779126;403123.7807868552
0;490;1107.9305241196687;403123.7807868552
0;500;1126.057607453002;403123.7807868552
0;512;1135.0320115297643;403123.7807868552
0;518;1171.4431596779125;403123.7807868552
0;521;1199.0581596779125;403123.7807868552
0;527;1212.7905241196688;403123.7807868552
0;530;1286.6749481968777;403123.7807868552
0;535;1293.6863831078642;403123.7807868552
0;538;1318.820107453002;403123.7807868552
0;550;1333.7840192887509;403123.7807868552
0;557;1408.2329013550277;403123.7807868552
0;569;1422.0141513550277;403123.7807868552
0;573;1479.6381513550277;403123.7807868552
0;574;1512.151656530211;403123.7807868552
0;582;1551.5001513550276;403123.7807868552
0;591;1577.545589482118;403123.7807868552
0;595;1635.169589482118;403123.7807868552
0;596;1668.5435478154513;403123.7807868552
0;602;1734.0776513550277;403123.7807868552
0;611;1740.295589482118;403123.7807868552
0;615;1783.097089482118;403123.7807868552
0;624;1854.959089482118;403123.7807868552
0;633;1896.119089482118;403123.7807868552
0;638;2091.1828394821177;403123.7807868552
0;653;2201.564089482118;403123.7807868552
1;365;801.6841308890813;398037.45345558366
1;373;828.978297555748;398037.45345558366
1;376;852.212515212252;398037.45345558366
1;393;872.9674642224147;398037.45345558366
1;406;891.0042013445792;398037.45345558366
1;410;911.3946450431699;398037.45345558366
1;426;922.6740657863354;398037.45345558366
1;434;948.1271180112459;398037.45345558366
1;438;966.5203157863355;398037.45345558366
1;448;977.8223991196687;398037.45345558366
1;454;993.9573991196688;398037.45345558366
