configuracion;media;std;mejor;gap_medio_pct;exito_pct;validez_pct;diversidad_unica_final_pct;jaccard_final;generacion_mejor;tiempo_s
REFERENCIA uniform + position (pmut=0.2);5.286243243508627;0.3580214904880304;5.771276406566549;nan;0.0;0.0;1.9999999999999998;0.0;43.2;0.3751486539840698
REFERENCIA onepoint (sin mutacion);5.113527313730874;0.3436899774469154;5.585881023238694;nan;0.0;0.0;1.9999999999999998;0.0;17.9;0.288411808013916
REFERENCIA uniform (sin mutacion);5.0816052488343395;0.2662109629993537;5.407538774542725;nan;0.0;0.0;1.9999999999999998;0.0;18.6;0.12531743049621583
ASIGNACION onepoint (sin mutacion);4.752881713704133;0.1393223373084147;4.9163651505563415;6.474983088449545;0.0;100.0;1.9999999999999998;0.0;18.1;0.20195963382720947
ASIGNACION uniform (sin mutacion);4.954595731309185;0.05731298904950089;5.045209048261222;2.5057475710971264;0.0;100.0;1.9999999999999998;0.0;24.6;0.14584629535675048
ASIGNACION uniform_assignment + sin mutacion;4.954595731309185;0.05731298904950089;5.045209048261222;2.5057475710971264;0.0;100.0;1.9999999999999998;0.0;24.6;0.14670758247375487
uniform_assignment + flight_and_gate (pmut=0.1);5.005372319688151;0.07160722577822194;5.058757189136665;1.5065892555932678;0.0;100.0;1.9999999999999998;0.0;54.9;0.15028934478759765
uniform_assignment + flight_and_gate (pmut=0.3);5.0556950321747784;0.021030057326193674;5.081936224827505;0.5163621008175285;10.0;100.0;2.8000000000000003;0.004615955473098329;60.9;0.1577160120010376
uniform_assignment + flight_and_gate (pmut=0.5);5.064120763225833;0.014278534837453269;5.081936224827505;0.35056444657128555;10.0;100.0;2.1999999999999997;0.009038961038961037;59.3;0.16815407276153566
uniform_assignment + flight_and_gate (pmut=0.7);5.071074193842508;0.012724630013966454;5.081936224827505;0.21373804204647748;10.0;100.0;5.8;0.03435003092145948;78.0;0.17576122283935547
uniform_assignment + flight_and_gate (pmut=0.9);5.0546834069926465;0.017872881571913295;5.070837981967834;0.5362683951387698;0.0;100.0;49.2;0.1979336853622568;93.4;0.25019614696502684
uniform_assignment + flight_or_gate (pmut=0.1);5.061332942102963;0.026969723001491024;5.081936224827505;0.4054219063963361;30.0;100.0;3.0000000000000004;0.004237476808905379;73.4;0.15107734203338624
uniform_assignment + flight_or_gate (pmut=0.3);5.079271161013009;0.005276795973224522;5.081936224827505;0.052441898059962765;70.0;100.0;2.1999999999999997;0.0;64.8;0.15486338138580322
uniform_assignment + flight_or_gate (pmut=0.5);5.07865508073512;0.0069172591087579985;5.081936224827505;0.06456484196621244;80.0;100.0;2.6;0.006768089053803337;64.1;0.16271262168884276
uniform_assignment + flight_or_gate (pmut=0.7);5.081936224827505;6.620091075326061e-16;5.081936224827506;6.9908663187151466e-15;100.0;100.0;1.9999999999999998;0.0;62.2;0.3138043165206909
uniform_assignment + flight_or_gate (pmut=0.9);5.075831440045957;0.006692711377361718;5.081936224827506;0.12012714271626708;30.0;100.0;20.0;0.07086456400742114;86.0;0.19314417839050294
uniform_assignment + flight (pmut=0.7);5.024036407783322;0.052087197668332995;5.075077309318598;1.1393259278091052;0.0;100.0;2.1999999999999997;0.007139146567717995;62.0;0.211191725730896
uniform_assignment + gate (pmut=0.7);5.053170372401329;0.03012372722278332;5.081936224827505;0.5660411928359349;20.0;100.0;1.9999999999999998;0.0;45.9;0.15831058025360106
